inline_count,external_count,onclick_count,onload_count,onchange_count,avg_inline_script_block,avg_external_script_block,avg_onclick_count,avg_onload_count,avg_onchange_count,avg_cyc_complexity,library_code_count,type
17,20,2,4,0,0,88.93333333,5830,5,15,0.466666667,7,alexa
1,1,1,0,0,0,0,0,1,0,0,0,phish
10,46,2,0,0,0,228.6285714,25907,9,35,0.257142857,9,alexa
5,20,2,0,0,0,192.625,3895,11,8,0.625,5,alexa
14,28,1,131,0,0,115.7894737,7402,6,19,0.210526316,4,alexa
16,30,2,0,2,0,205.4285714,13427,8,21,0.857142857,18,alexa
4,2,1,1,0,0,42,525,1,1,0,0,phish
29,36,1,0,3,0,127.4230769,9310,5,26,0.692307692,18,alexa
2,3,1,0,0,0,2337,19689,0,3,1,3,alexa
7,18,1,2,0,0,468.8,15921,8,10,0.6,6,alexa
2,6,1,0,1,0,578.75,5636,2,4,1,4,alexa
11,15,1,0,1,0,646,16040,6,9,0.777777778,7,alexa
1,0,2,0,0,0,0,0,0,0,0,0,alexa
20,42,2,0,2,0,284.6666667,31135,10,30,0.7,21,alexa
3,23,1,3,0,0,259.25,2225,2,4,0.75,3,phish
19,54,2,0,0,0,266.0740741,25508,27,27,0.703703704,19,alexa
5,8,3,0,0,0,2350,42234,4,4,1,4,alexa
10,33,1,0,0,0,660.5294118,38013,13,17,0.941176471,16,phish
0,0,1,0,0,0,0,0,0,0,0,0,alexa
2,3,2,9,0,0,1167,7946,0,3,0.666666667,2,alexa
8,10,2,0,0,0,563.4444444,15104,1,9,0.777777778,7,alexa
4,12,1,0,0,0,613.5,25675,2,10,0.8,8,alexa
4,9,1,8,0,0,904.1666667,12262,3,6,0.833333333,5,alexa
18,8.5,2,0,0,0,475.5,5440,6,4,0.75,3,alexa
25,59,2,0,0,0,298.7179487,41474,20,39,0.794871795,31,alexa
10,8,2,47,0,0,532.4,6013,4,5,1,5,phish
82,26,2,0,0,2,264,14601,9,17,0.823529412,14,alexa
7,27,1,0,0,0,194.4,18881,2,25,0.48,12,alexa
1,7.5,2,0,0,0,56.9,1893,5,10,0.3,3,phish
1,0,1,0,0,0,0,0,0,0,0,0,phish
7,21,1,1,0,0,228.4285714,10807,5,14,0.214285714,3,alexa
4,8.125,8,0,1,0,170.4285714,4108,6,7,0.714285714,5,alexa
13,19,1,2,1,0,840.2307692,26793,5,13,0.769230769,10,alexa
3,6,2,0,0,0,976.25,11290,2,4,0.5,2,alexa
1,1,1,0,0,0,42,525,0,1,0,0,phish
2,3,1,0,0,0,26.5,202,1,2,1,2,phish
4,8,2,0,0,0,239.5,554,6,2,0.5,1,alexa
1,2,1,0,0,0,0,0,2,0,0,0,alexa
